Store,Name,Store Status,Address,City,State,Zip Code,Store Address,Report Date
2604,HY-VEE WINE AND SPIRITS / LE MARS,A,1201 12TH AVE SW,LE MARS,IA,51031,POINT (-96.184614038 42.777849991),11/01/2023
6152,HAWKEYE SMOKE SHOP / FAIRFIELD,I,53 N COURT ST,FAIRFIELD,IA,52556,POINT (-91.962065022 41.007276001),11/01/2023
6270,SUNDSTOP / OLIN,A,400 JACKSON STREET,OLIN,IA,52320,POINT (-91.141473014 41.998133004),11/01/2023
5749,CASEY'S GENERAL STORE #3025 / CARROLL,A,613 US HWY 30 W,CARROLL,IA,51401,POINT (-94.874368996 42.068417781),11/01/2023
4932,B AND B WEST,A,3105 HUDSON RD,CEDAR FALLS,IA,50613,POINT (-92.466243036 42.509291006),11/01/2023
5973,CASEY'S GENERAL STORE #1908 / INDIANOLA,A,507 S JEFFERSON WAY,INDIANOLA,IA,50125,POINT (-93.558849009 41.355450997),11/01/2023
5641,CASEY'S GENERAL STORE #1729 / ARLINGTON,A,400 PARRIOTT ST,APLINGTON,IA,50604,POINT (-92.875089977 42.58418901),11/01/2023
2675,HY-VEE #2 / CORALVILLE,A,3285 CROSSPARK RD,CORALVILLE,IA,52241,POINT (-91.604094893 41.72215222),11/01/2023
4604,PIT STOP LIQUORS / NEWTON,A,"1324, 1ST AVE E",NEWTON,IA,50208,POINT (-93.035735019 41.699423013),11/01/2023
010190,CASEY'S GENERAL STORE #2608 / SIOUX CITY,A,1132 LEWIS BOULEVARD,SIOUX CITY,IA,51105,POINT (-96.377869964 42.502711002),11/01/2023
4948,WHEATLAND DAY BREAK,I,102 W HWY 30,WHEATLAND,IA,52777,POINT (-90.842357158 41.829567576),11/01/2023
3648,FAIRBANK FOOD CENTER,I,102  4TH ST NORTH BOX 434,FAIRBANK,IA,50629,POINT (-92.047754979 42.639680017),11/01/2023
4854,CASEY'S GENERAL STORE #3029 / ARMSTRONG,A,"307, S 4TH AVE",ARMSTRONG,IA,50514,POINT (-94.483015022 43.392466997),11/01/2023
6214,CASEY'S #3934 / ANKENY,A,1515 SE CORPORATE WOODS DR,ANKENY,IA,50021,POINT (-93.572531595 41.679697487),11/01/2023
3814,COSTCO WHOLESALE #788 / WDM,A,7205 MILLS CIVIC PKWY,WEST DES MOINES,IA,50266,POINT (-93.805750959 41.562330994),11/01/2023
4254,FAREWAY STORES #849 / EMMETSBURG,A,2008 12TH STREET,EMMETSBURG,IA,50536,POINT (-94.676975028 43.10898001),11/01/2023
5818,CASEY'S GENERAL STORE #2894 / INDIANOLA,A,1101 E 2ND AVE,INDIANOLA,IA,50125,POINT (-93.547994026 41.357495008),11/01/2023
4645,KWIK SHOP #589 / ELDRIDGE,I,"1, GROVE RD",ELDRIDGE,IA,52748,POINT (-90.54861899 41.694565994),11/01/2023
6109,MOES MART #11 / SIOUX CENTER,I,402 N MAIN AVE,SIOUX CENTER,IA,51250,POINT (-96.175254973 43.081160012),11/01/2023
6013,MILL STREET LIQUOR / LAKE MILLS,I,107 N MILL ST,LAKE MILLS,IA,50450,POINT (-93.535372975 43.419692006),11/01/2023
5467,CASEY'S GENERAL STORE #95 / DEXTER,A,803 STATE ST,DEXTER,IA,50070,POINT (-94.227707029 41.518415018),11/01/2023
5240,CASEY'S GENERAL STORE #3463 / WEST B,A,"615, S  DOWNEY ST",WEST BRANCH,IA,52358,POINT (-91.346044006 41.662039012),11/01/2023
010134,"FAREWAY STORES, INC. #232 / WEST DES MOINES",A,9080 MILLS CIVIC PARKWAY,WEST DES MOINES,IA,50266,POINT (-93.832572733 41.558780167),11/01/2023
6000,PORTERS CONVENIENCE 66 / CLINTON,A,1512 LINCOLN WAY,CLINTON,IA,52732,POINT (-90.222037998 41.817733996),11/01/2023
4107,FAREWAY STORES #384 / BOONE,A,1711 HAWKEYE DR,BOONE,IA,50036,POINT (-93.867672018 42.038184),11/01/2023
5079,CASEY'S GENERAL STORE #2489 / DENISO,A,1608 4TH AVE S,DENISON,IA,51442,POINT (-95.34916804 42.012813991),11/01/2023
5776,CASEY'S GENERAL STORE #2890 / WEST LIBERTY,A,402 W 15TH ST,WEST LIBERTY,IA,52776,POINT (-91.266387008 41.583022015),11/01/2023
010240,FORBES MEAT / SPIRIT LAKE,A,2508 ENTERPRISE AVENUE,SPIRIT LAKE,IA,51360,POINT (-95.127291016 43.41661899),11/01/2023
2445,RUBACK'S FOOD CENTER,A,504 S HWY,OAKLAND,IA,51560,POINT (-95.402655981 41.302402979),11/01/2023
6133,LINCOLN FARM AND HOME 3 / PACIFIC JUNCTION,A,18880 HYLAND AVE,PACIFIC JUNCTION,IA,51561,POINT (-95.82400604 41.04630298),11/01/2023
4727,WALGREENS #07996 / ANKENY,A,2702 SE DELAWARE AVE,ANKENY,IA,50021,POINT (-93.581915001 41.702146),11/01/2023
5382,CASEY'S GENERAL STORE # 2870/ ALTOONA,A,1419 1ST AVE N,ALTOONA,IA,50009,POINT (-93.463990005 41.663614014),11/01/2023
6288,MIDWEST FOOD & LIQUOR / PLEASANT HILL,A,1250 COPPER CREEK DRIVE,PLEASANT HILL,IA,50327,POINT (-93.524482655 41.601496129),11/01/2023
6302,JET STOP SALEM STUB / SALEM,A,3164 HWY 218,SALEM,IA,52649,POINT (-91.563934009 40.84714301),11/01/2023
5958,BP FUEL / WATERLOO,A,127 JEFFERSON ST,WATERLOO,IA,50701,POINT (-92.345108023 42.497739989),11/01/2023
5288,YESWAY STORE # 10016/ FORT DODGE,I,1601 5TH AVE,FORT DODGE,IA,50501,POINT (-94.175776026 42.500800012),11/01/2023
5701,THE HUT 23,A,603 10TH STREET,ONAWA,IA,51040,POINT (-96.097096049 42.031895349),11/01/2023
5497,CASEY'S GENERAL STORE #3617 / GRINNELL,A,635 LANG CREEK AVE,GRINNELL,IA,50112,POINT (-92.728157981 41.700281991),11/01/2023
4633,KWIK SHOP #520 / CARTER LAKE,A,1202 EAST LOCUST ST,CARTER LAKE,IA,51510,POINT (-95.914135237 41.284987276),11/01/2023
5234,CASEY'S GENERAL STORE #3473 / DUBUQU,A,"1072, CEDAR CROSS RD",DUBUQUE,IA,52003,POINT (-90.707682032 42.478826015),11/01/2023
5263,BERNIE'S BOOZE LLC,A,"950, WEST VIEW DR",ROCK VALLEY,IA,51247,POINT (-96.308979899 43.198990208),11/01/2023
2545,HY-VEE DRUGSTORE (7042) / IOWA CITY,A,310 N 1ST ST,IOWA CITY,IA,52245,POINT (-91.50132136 41.666082652),11/01/2023
5432,"BRICK STREET MARKET, LLC",I,114 BRICK STREET,BONDURANT,IA,50035,POINT (-93.461859996 41.690055985),11/01/2023
5833,CASEY'S GENERAL STORE #1546 / FREMONT,A,203 E MAIN ST,FREMONT,IA,52561,POINT (-92.43533502 41.212988985),11/01/2023
4204,FAREWAY STORES #025 / CLINTON,A,1350 11TH ST NW,CLINTON,IA,52733,POINT (-90.212712041 41.860999997),11/01/2023
4733,WALGREENS #03773 / URBANDALE,A,4600 86TH ST,URBANDALE,IA,50322,POINT (-93.737581695 41.644449379),11/01/2023
5405,KUM & GO #524/ CORALVILLE,A,2600 HOLIDAY RD,CORALVILLE,IA,52241,POINT (-91.607330475 41.699971106),11/01/2023
5909,EZ STOP 1 / DUBUQUE,A,1101 RHOMBERG AVE,DUBUQUE,IA,52001,POINT (-90.660532988 42.519626982),11/01/2023
010018,KWIK STAR #710 / TOLEDO,A,1002 SOUTH COUNTY RD,TOLEDO,IA,52342,POINT (-92.582678987 41.986220014),11/01/2023
5618,CASEY'S GENERAL STORE #1446 / LISBON,A,150 E. BUSINESS 30,LISBON,IA,52253,POINT (-91.38471 41.921245),11/01/2023
4463,CASEY'S GENERAL STORE #3031 / GARNER,A,145 US HWY 18 W,GARNER,IA,50438,POINT (-93.695282674 43.104887793),11/01/2023
4938,PRONTO MARKET,A,201 S MAIN ST,HAZLETON,IA,50641,POINT (-91.905090041 42.615335995),11/01/2023
2716,HY-VEE HAMPTON DOLLAR FRESH,A,808 4TH ST SE,HAMPTON,IA,50441,POINT (-93.201163278 42.734286097),11/01/2023
010139,FAS MART #553 / COUNCIL BLUFFS,A,611 EAST BROADWAY,COUNCIL BLUFFS,IA,51503,POINT (-95.838859023 41.266689995),11/01/2023
5995,SUPER STOP LIQUOR AND WINE / ALTOONA,I,2635 ADVENTURELAND DR,ALTOONA,IA,50009,POINT (-93.494712027 41.659162008),11/01/2023
6187,MILL CREEK LIQUORS / PAULLINA,A,132 NORTH MAIN STREET,PAULLINA,IA,51046,POINT (-95.68744296 42.979948992),11/01/2023
010276,KWIK STAR #715 / WATERLOO,A,135 EAST RIDGEWAY AVENUE,WATERLOO,IA,50702,POINT (-92.355788296 42.46946729),11/01/2023
5460,SMOKIN JOE'S # 6 TOBACCO AND LIQUOR OUTLET,I,2411 2ND ST STE 4,CORALVILLE,IA,52241,POINT (-91.599160382 41.683958779),11/01/2023
6010,CASEY'S GENERAL STORE #1084 / EVANSDALE,A,3601 LAFAYETTE RD,EVANSDALE,IA,50707,POINT (-92.287743032 42.477552007),11/01/2023
4823,CASEY'S GENERAL STORE #3223 / CRESTON,A,903 N SUMNER AVE,CRESTON,IA,50801,POINT (-94.372135016 41.066929),11/01/2023
2641,HY-VEE DRUGSTORE / COUNCIL BLUFFS,I,757 W BROADWAY,COUNCIL BLUFFS,IA,51501,POINT (-95.855288979 41.260807994),11/01/2023
5054,CORK 'N BOTTLE / MANCHESTER,A,900 E MAIN ST,MANCHESTER,IA,52087,POINT (-91.445 42.484327016),11/01/2023
4472,QUICK SHOP FOODS / CENTERVILLE,A,1023 SOUTH MAIN,CENTERVILLE,IA,52544,POINT (-92.873745017 40.724096001),11/01/2023
2707,HY-VEE FAST AND FRESH - URBANDALE,A,9915 DOUGLAS AVE,URBANDALE,IA,50322,POINT (-93.755254603 41.629948729),11/01/2023
4015,WAL-MART 0749 / AMES,A,3015 GRAND AVE,AMES,IA,50010,POINT (-93.622738977 42.052141001),11/01/2023
3612,B AND C LIQUOR / MAQUOKETA,I,509 E PLATT,MAQUOKETA,IA,52060,POINT (-90.659825974 42.068963983),11/01/2023
6287,RIVERSIDE #4 / BETTENDORF,A,2320 SPRUCE HILLS DRIVE,BETTENDORF,IA,52722,POINT (-90.500173015 41.549773981),11/01/2023
5865,HAWKEYE SMOKE SHOP,I,421 10TH AVE STE B,CORALVILLE,IA,52241,POINT (-91.57787521 41.674246039),11/01/2023
5686,FLASHMART #101 / WDM,I,3501 EP TRUE PARKWAY,WEST DES MOINES,IA,50265,POINT (-93.752454041 41.570638004),11/01/2023
5393,CASEY'S GENERAL STORE # 1799/ OSAGE,A,309 MAIN ST.,OSAGE,IA,50461,POINT (-92.817709983 43.284482017),11/01/2023
3888,WAL-MART 0647 / GRINNELL,A,415 INDUSTRIAL AVE,GRINNELL,IA,50112,POINT (-92.730956028 41.721988018),11/01/2023
5576,CASEY'S GENERAL STORE #3449 / WAPELLO,A,13410 IA HWY 78,WAPELLO,IA,52653,POINT (-91.184596983 41.088412991),11/01/2023
2201,HAPPY'S WINE & SPIRITS WHOLESALE,A,5925 UNIVERSITY AVE,CEDAR FALLS,IA,50613,POINT (-92.429482021 42.512313981),11/01/2023
4098,WAL-MART 1475 / WASHINGTON,A,2485 HWY 92,WASHINGTON,IA,52353,POINT (-91.662239987 41.295427015),11/01/2023
5100,SAM'S FOOD,A,648 N  MARQUETTE ST,DAVENPORT,IA,52802,POINT (-90.591281033 41.526506991),11/01/2023
010225,B&L DRIVE THRU / FORT DODGE,A,902 S 22ND ST,FORT DODGE,IA,50501,POINT (-94.168193002 42.495551013),11/01/2023
3855,DYNO'S WINE AND SPIRITS / STORM LAKE,I,1201 1/2 LAKESHORE DR,STORM LAKE,IA,50588,POINT (-95.186127971 42.635050604),11/01/2023
5281,YESWAY STORE # 10017/ FORT DODGE,I,115 22ND ST N,FORT DODGE,IA,50501,POINT (-94.167577016 42.507986991),11/01/2023
4699,WALGREENS #06553 / BETTENDORF,A,830 MIDDLE RD,BETTENDORF,IA,52722,POINT (-90.521860016 41.539053987),11/01/2023
4448,KUM & GO #572 / URBANDALE,A,4860 NW URBANDALE DR,URBANDALE,IA,50322,POINT (-93.769419349 41.646121904),11/01/2023
4879,SAM'S MINI MART / MORNINGSIDE AVE SIOUX CITY,I,4218 MORNINGSIDE AVE,SIOUX CITY,IA,51106,POINT (-96.35281897 42.470301996),11/01/2023
5340,KUM & GO #532/ WEST DSM,A,5901 MILLS CIVIC PKWY #2000,WEST DES MOINES,IA,50266,POINT (-93.786899975 41.559747021),11/01/2023
5354,KIMMES WALL LAKE,A,129 CENTER STREET,WALL LAKE,IA,51466,POINT (-95.090929985 42.271330996),11/01/2023
010024,HY-VEE FAST AND FRESH #2 (7591) / WEST DES MOINES,A,9150 SOUTHEAST UNIVERSITY AVENUE,WEST DES MOINES,IA,50266,POINT (-93.815928551 41.600412698),11/01/2023
6092,A&S FOOD AND GAS / DAVENPORT,A,2365 ROCKINGHAM RD,DAVENPORT,IA,52802,POINT (-90.612218022 41.514318991),11/01/2023
5595,GIT-N-GO #47 / ALTOONA,A,101 8TH ST W,ALTOONA,IA,50009,POINT (-93.465018968 41.644464006),11/01/2023
4738,CASEY'S GENERAL STORE #2284 / COUNCIL BLUFFS,A,"1030, VETERAN MEMORIAL HWY",COUNCIL BLUFFS,IA,51501,POINT (-95.860249976 41.219933015),11/01/2023
5681,QUICK CORNER / HAWARDEN,A,901 10TH ST,HAWARDEN,IA,51023,POINT (-96.48203397 42.997019995),11/01/2023
5554,BLAIRSTOWN QUICK STOP,I,321 LOCUST ST. NW,BLAIRSTOWN,IA,52209,POINT (-92.084897036 41.90946898),11/01/2023
5483,TIGER MART,A,708 MAIN,GRISWOLD,IA,51535,POINT (-95.139216033 41.234406005),11/01/2023
2649,HY-VEE #3 / DUBUQUE,A,400 LOCUST ST,DUBUQUE,IA,52001,POINT (-90.666456256 42.49730433),11/01/2023
